Year,State,STATEA,County,COUNTYA,AREANAME,BlackPop
1790,Georgia,130,Burke,330,Burke,2403
1790,Georgia,130,Camden,390,Camden,84
1790,Georgia,130,Chatham,510,Chatham,8313
1790,Georgia,130,Effingham,1030,Effingham,750
1790,Georgia,130,Franklin,1190,Franklin,156
1790,Georgia,130,Glynn,1270,Glynn,220
1790,Georgia,130,Greene,1330,Greene,1385
1790,Georgia,130,Liberty,1790,Liberty,4052
1790,Georgia,130,Richmond,2450,Richmond,4155
1790,Georgia,130,Washington,3030,Washington,696
1790,Georgia,130,Wilkes,3170,Wilkes,7448
1800,Georgia,130,Bryan,290,Bryan,2308
1800,Georgia,130,Bulloch,310,Bulloch,284
1800,Georgia,130,Burke,330,Burke,2981
1800,Georgia,130,Camden,390,Camden,745
1800,Georgia,130,Chatham,510,Chatham,9273
1800,Georgia,130,Columbia,730,Columbia,3024
1800,Georgia,130,Effingham,1030,Effingham,762
1800,Georgia,130,Elbert,1050,Elbert,2839
1800,Georgia,130,Franklin,1190,Franklin,967
1800,Georgia,130,Glynn,1270,Glynn,1095
1800,Georgia,130,Greene,1330,Greene,3664
1800,Georgia,130,Hancock,1410,Hancock,4851
1800,Georgia,130,Jackson,1570,Jackson,1408
1800,Georgia,130,Jefferson,1630,Jefferson,1676
1800,Georgia,130,Liberty,1790,Liberty,3967
1800,Georgia,130,Lincoln,1810,Lincoln,1440
1800,Georgia,130,McIntosh,1910,Mcintosh,1829
1800,Georgia,130,Montgomery,2090,Montgomery,438
1800,Georgia,130,Oglethorpe,2210,Oglethorpe,3094
1800,Georgia,130,Richmond,2450,Richmond,2745
1800,Georgia,130,Screven,2510,Screven,766
1800,Georgia,130,Warren,3010,Warren,2077
1800,Georgia,130,Washington,3030,Washington,3119
1800,Georgia,130,Wilkes,3170,Wilkes,5071
1810,Georgia,130,Baldwin,90,Baldwin,2566
1810,Georgia,130,Bryan,290,Bryan,2270
1810,Georgia,130,Bulloch,310,Bulloch,444
1810,Georgia,130,Burke,330,Burke,4767
1810,Georgia,130,Camden,390,Camden,2734
1810,Georgia,130,Chatham,510,Chatham,10326
1810,Georgia,130,Clarke,590,Clarke,2628
1810,Georgia,130,Columbia,730,Columbia,6013
1810,Georgia,130,Effingham,1030,Effingham,1011
1810,Georgia,130,Elbert,1050,Elbert,4624
1810,Georgia,130,Franklin,1190,Franklin,1672
1810,Georgia,130,Glynn,1270,Glynn,2853
1810,Georgia,130,Greene,1330,Greene,5281
1810,Georgia,130,Hancock,1410,Hancock,6481
1810,Georgia,130,Jackson,1570,Jackson,1827
1810,Georgia,130,Jefferson,1630,Jefferson,2365
1810,Georgia,130,Jones,1690,Jones,3026
1810,Georgia,130,Laurens,1750,Laurens,496
1810,Georgia,130,Liberty,1790,Liberty,4876
1810,Georgia,130,Lincoln,1810,Lincoln,2224
1810,Georgia,130,McIntosh,1910,Mcintosh,2978
1810,Georgia,130,Montgomery,2090,Montgomery,764
1810,Georgia,130,Morgan,2110,Morgan,2420
1810,Georgia,130,Oglethorpe,2210,Oglethorpe,5440
1810,Georgia,130,Pulaski,2350,Pulaski,540
1810,Georgia,130,Putnam,2370,Putnam,3258
1810,Georgia,130,Randolph (old),2435,Randolph (old),1830
1810,Georgia,130,Richmond,2450,Richmond,3508
1810,Georgia,130,Screven,2510,Screven,1820
1810,Georgia,130,Tattnall,2670,Tattnall,606
1810,Georgia,130,Telfair,2710,Telfair,219
1810,Georgia,130,Twiggs,2890,Twiggs,649
1810,Georgia,130,Walton,2970,Walton,62
1810,Georgia,130,Warren,3010,Warren,3066
1810,Georgia,130,Washington,3030,Washington,3517
1810,Georgia,130,Wayne,3050,Wayne,255
1810,Georgia,130,Wilkes,3170,Wilkes,7285
1810,Georgia,130,Wilkinson,3190,Wilkinson,318
1820,Georgia,130,Appling,10,Appling,86
