Year,State,STATEA,County,COUNTYA,AREANAME,BlackPop,Population
1790,Georgia,130,Burke,330,Burke,2403,"1,500 to 3,500"
1790,Georgia,130,Camden,390,Camden,84,Under 500
1790,Georgia,130,Chatham,510,Chatham,8313,"3,500 to 10,000"
1790,Georgia,130,Effingham,1030,Effingham,750,"500 to 1,500"
1790,Georgia,130,Franklin,1190,Franklin,156,Under 500
1790,Georgia,130,Glynn,1270,Glynn,220,Under 500
1790,Georgia,130,Greene,1330,Greene,1385,"500 to 1,500"
1790,Georgia,130,Liberty,1790,Liberty,4052,"3,500 to 10,000"
1790,Georgia,130,Richmond,2450,Richmond,4155,"3,500 to 10,000"
1790,Georgia,130,Washington,3030,Washington,696,"500 to 1,500"
1790,Georgia,130,Wilkes,3170,Wilkes,7448,"3,500 to 10,000"
1790,Georgia,130,,,,,"10,000 to 25,000"
1790,Georgia,130,,,,,"25,000 to 100,000"
1790,Georgia,130,,,,,"100,000 to 400,000"
1790,Georgia,130,,,,,"400,000 to 500,000"
1800,Georgia,130,Bryan,290,Bryan,2308,"1,500 to 3,500"
1800,Georgia,130,Bulloch,310,Bulloch,284,Under 500
1800,Georgia,130,Burke,330,Burke,2981,"1,500 to 3,500"
1800,Georgia,130,Camden,390,Camden,745,"500 to 1,500"
1800,Georgia,130,Chatham,510,Chatham,9273,"3,500 to 10,000"
1800,Georgia,130,Columbia,730,Columbia,3024,"1,500 to 3,500"
1800,Georgia,130,Effingham,1030,Effingham,762,"500 to 1,500"
1800,Georgia,130,Elbert,1050,Elbert,2839,"1,500 to 3,500"
1800,Georgia,130,Franklin,1190,Franklin,967,"500 to 1,500"
1800,Georgia,130,Glynn,1270,Glynn,1095,"500 to 1,500"
1800,Georgia,130,Greene,1330,Greene,3664,"3,500 to 10,000"
1800,Georgia,130,Hancock,1410,Hancock,4851,"3,500 to 10,000"
1800,Georgia,130,Jackson,1570,Jackson,1408,"500 to 1,500"
1800,Georgia,130,Jefferson,1630,Jefferson,1676,"1,500 to 3,500"
1800,Georgia,130,Liberty,1790,Liberty,3967,"3,500 to 10,000"
1800,Georgia,130,Lincoln,1810,Lincoln,1440,"500 to 1,500"
1800,Georgia,130,McIntosh,1910,Mcintosh,1829,"1,500 to 3,500"
1800,Georgia,130,Montgomery,2090,Montgomery,438,Under 500
1800,Georgia,130,Oglethorpe,2210,Oglethorpe,3094,"1,500 to 3,500"
1800,Georgia,130,Richmond,2450,Richmond,2745,"1,500 to 3,500"
